review,sentiment,intent,response
Great quality and fit,positive,general,Thanks for sharing your experience with us!
Delivery took too long,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Great quality and fit,positive,general,Thank you for your feedback! We're glad you liked it.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Very comfortable fabric,positive,general,We appreciate your kind words and are happy you had a good experience.
Size is too small,negative,size_fit,We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Very comfortable fabric,positive,general,Thank you for your feedback! We're glad you liked it.
Amazing experience,positive,general,Thank you for your feedback! We're glad you liked it.
Received product late and Material is not soft,negative,delivery|material,We apologize for the delay in delivery. We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Material quality is poor,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Great quality and fit,positive,general,We appreciate your kind words and are happy you had a good experience.
Totally worth it,positive,general,Thank you for your feedback! We're glad you liked it.
Totally worth it,positive,general,Thank you for your feedback! We're glad you liked it.
Material quality is poor,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Delivery was late,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Delivery was late,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Still waiting for refund,negative,refund,We apologize for the delay in processing your refund. Our team will look into this and get back to you.
Really liked it,positive,general,We appreciate your kind words and are happy you had a good experience.
Stitching is poor,negative,quality,We’re sorry about the quality issue. Our team will look into this and get back to you.
Haven't got my money back,negative,refund,We apologize for the delay in processing your refund. Our team will look into this and get back to you.
Fit is too tight,negative,size_fit,We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Received product late,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Fabric is rough,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Expected better,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Great quality and fit,positive,general,Thanks for sharing your experience with us!
Very disappointing,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Really liked it,positive,general,Thank you for your feedback! We're glad you liked it.
Totally worth it,positive,general,Thanks for sharing your experience with us!
Looks cheap quality,negative,quality,We’re sorry about the quality issue. Our team will look into this and get back to you.
Great quality and fit,positive,general,Thank you for your feedback! We're glad you liked it.
Not satisfied,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Loved the product,positive,general,We appreciate your kind words and are happy you had a good experience.
Great quality and fit,positive,general,We appreciate your kind words and are happy you had a good experience.
Loved the product,positive,general,Thank you for your feedback! We're glad you liked it.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Very disappointing,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Delivery was late and Stitching is poor,negative,delivery|quality,We apologize for the delay in delivery. We’re sorry about the quality issue. Our team will look into this and get back to you.
Material quality is poor,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Material is not soft,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Really liked it,positive,general,Thanks for sharing your experience with us!
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Loved the product,positive,general,Thank you for your feedback! We're glad you liked it.
Too loose fitting and Material is not soft,negative,size_fit|material,We’re sorry the size didn’t fit as expected. We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Average experience,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Sizing is not accurate,negative,size_fit,We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Really liked it,positive,general,We appreciate your kind words and are happy you had a good experience.
Loved the product,positive,general,Thanks for sharing your experience with us!
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Amazing experience,positive,general,Thank you for your feedback! We're glad you liked it.
Loved the product,positive,general,Thanks for sharing your experience with us!
Delivery took too long and Material quality is poor,negative,delivery|material,We apologize for the delay in delivery. We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Great quality and fit,positive,general,Thanks for sharing your experience with us!
Totally worth it,positive,general,Thanks for sharing your experience with us!
Fabric is rough,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Still waiting for refund,negative,refund,We apologize for the delay in processing your refund. Our team will look into this and get back to you.
Material quality is poor,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Received product late,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Received product late,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Amazing experience,positive,general,We appreciate your kind words and are happy you had a good experience.
Amazing experience,positive,general,Thanks for sharing your experience with us!
Product got damaged quickly,negative,quality,We’re sorry about the quality issue. Our team will look into this and get back to you.
Haven't got my money back,negative,refund,We apologize for the delay in processing your refund. Our team will look into this and get back to you.
Very comfortable fabric,positive,general,We appreciate your kind words and are happy you had a good experience.
Amazing experience,positive,general,Thank you for your feedback! We're glad you liked it.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Fabric is rough,negative,material,We’re sorry the material did not meet expectations. Our team will look into this and get back to you.
Really liked it,positive,general,We appreciate your kind words and are happy you had a good experience.
Expected better,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Package delayed,negative,delivery,We apologize for the delay in delivery. Our team will look into this and get back to you.
Very disappointing,negative,general,We’re sorry for your experience. Our team will look into this and get back to you.
Totally worth it,positive,general,Thanks for sharing your experience with us!
Size is too small,negative,size_fit,We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Fabric is rough and Sizing is not accurate,negative,material|size_fit,We’re sorry the material did not meet expectations. We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Very comfortable fabric,positive,general,We appreciate your kind words and are happy you had a good experience.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
Refund taking too long and Received product late,negative,refund|delivery,We apologize for the delay in processing your refund. We apologize for the delay in delivery. Our team will look into this and get back to you.
Product got damaged quickly,negative,quality,We’re sorry about the quality issue. Our team will look into this and get back to you.
Great quality and fit,positive,general,Thank you for your feedback! We're glad you liked it.
Very comfortable fabric,positive,general,We appreciate your kind words and are happy you had a good experience.
Sizing is not accurate,negative,size_fit,We’re sorry the size didn’t fit as expected. Our team will look into this and get back to you.
Totally worth it,positive,general,We appreciate your kind words and are happy you had a good experience.
